Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
190824258,E13,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:46:02 PM,03/23/2019 11:47:48 PM,,,Fire,03/23/2019 11:59:17 PM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,true,Alarm,1,ENGINE,2,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-E13
190824258,E02,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:46:40 PM,03/23/2019 11:49:13 PM,,,Fire,03/24/2019 12:02:50 AM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,true,Alarm,1,ENGINE,5,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-E02
190824258,D2,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:46:30 PM,03/23/2019 11:52:08 PM,,,Fire,03/23/2019 11:57:22 PM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,false,Alarm,1,CHIEF,10,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-D2
190824258,B03,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:46:56 PM,03/23/2019 11:50:55 PM,,,Fire,03/24/2019 12:02:52 AM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,false,Alarm,1,CHIEF,9,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-B03
190824258,B01,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:46:54 PM,03/23/2019 11:47:51 PM,,,Fire,03/24/2019 12:04:33 AM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,false,Alarm,1,CHIEF,3,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-B01
190824258,55,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:45:11 PM,03/23/2019 11:50:28 PM,,,Fire,03/24/2019 12:01:28 AM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,true,Alarm,1,MEDIC,7,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-55
190824218,T16,19035259,Alarms,03/23/2019,03/23/2019,03/23/2019 11:32:22 PM,03/23/2019 11:34:40 PM,03/23/2019 11:35:10 PM,03/23/2019 11:37:11 PM,,,,Fire,03/23/2019 11:49:26 PM,3200 Block of LAGUNA ST,San Francisco,94123,B04,16,3352,3,3,3,false,Alarm,1,TRUCK,3,4,2,Marina,"(37.801205869590056, -122.43133357328043)",190824218-T16
190824218,E16,19035259,Alarms,03/23/2019,03/23/2019,03/23/2019 11:32:22 PM,03/23/2019 11:34:40 PM,03/23/2019 11:35:10 PM,03/23/2019 11:36:46 PM,03/23/2019 11:38:32 PM,,,Fire,03/23/2019 11:49:22 PM,3200 Block of LAGUNA ST,San Francisco,94123,B04,16,3352,3,3,3,true,Alarm,1,ENGINE,1,4,2,Marina,"(37.801205869590056, -122.43133357328043)",190824218-E16
190824218,B04,19035259,Alarms,03/23/2019,03/23/2019,03/23/2019 11:32:22 PM,03/23/2019 11:34:40 PM,03/23/2019 11:35:10 PM,03/23/2019 11:37:09 PM,03/23/2019 11:40:53 PM,,,Fire,03/23/2019 11:49:30 PM,3200 Block of LAGUNA ST,San Francisco,94123,B04,16,3352,3,3,3,false,Alarm,1,CHIEF,2,4,2,Marina,"(37.801205869590056, -122.43133357328043)",190824218-B04
190824215,RC2,19035258,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:33:30 PM,03/23/2019 11:33:54 PM,03/23/2019 11:34:42 PM,03/23/2019 11:36:19 PM,03/23/2019 11:40:47 PM,,,Against Medical Advice,03/23/2019 11:56:22 PM,6100 Block of GEARY BLVD,San Francisco,94121,B07,14,7213,3,E,3,true,,1,RESCUE CAPTAIN,3,7,1,Outer Richmond,"(37.78018928981563, -122.48527994089466)",190824215-RC2
190824215,E14,19035258,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:33:30 PM,03/23/2019 11:33:54 PM,03/23/2019 11:34:07 PM,03/23/2019 11:35:17 PM,03/23/2019 11:36:39 PM,,,Against Medical Advice,03/23/2019 11:45:45 PM,6100 Block of GEARY BLVD,San Francisco,94121,B07,14,7213,3,E,3,true,,1,ENGINE,1,7,1,Outer Richmond,"(37.78018928981563, -122.48527994089466)",190824215-E14
190824215,88,19035258,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:33:30 PM,03/23/2019 11:33:54 PM,03/23/2019 11:34:07 PM,03/23/2019 11:34:12 PM,03/23/2019 11:38:48 PM,,,Against Medical Advice,03/24/2019 12:20:00 AM,6100 Block of GEARY BLVD,San Francisco,94121,B07,14,7213,3,E,3,true,,1,MEDIC,2,7,1,Outer Richmond,"(37.78018928981563, -122.48527994089466)",190824215-88
190824207,QRV1,19035257,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:28:32 PM,03/23/2019 11:31:04 PM,03/23/2019 11:31:11 PM,03/23/2019 11:31:16 PM,03/23/2019 11:33:18 PM,,,Code 2 Transport,03/23/2019 11:36:25 PM,200 Block of JONES ST,San Francisco,94102,B03,03,1456,3,3,3,true,Potentially Life-Threatening,1,SUPPORT,1,2,6,Tenderloin,"(37.78345981438716, -122.41257188202289)",190824207-QRV1
190824207,84,19035257,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:28:32 PM,03/23/2019 11:31:04 PM,03/23/2019 11:31:11 PM,03/23/2019 11:31:14 PM,03/23/2019 11:49:04 PM,03/23/2019 11:49:08 PM,03/23/2019 11:49:11 PM,Code 2 Transport,03/24/2019 12:08:35 AM,200 Block of JONES ST,San Francisco,94102,B03,03,1456,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,6,Tenderloin,"(37.78345981438716, -122.41257188202289)",190824207-84
190824203,T06,19035256,Alarms,03/23/2019,03/23/2019,03/23/2019 11:27:11 PM,03/23/2019 11:28:47 PM,03/23/2019 11:28:54 PM,03/23/2019 11:30:35 PM,03/23/2019 11:32:29 PM,,,Fire,03/23/2019 11:41:45 PM,CASTRO ST/MARKET ST,San Francisco,94114,B05,06,5417,3,3,3,false,Alarm,1,TRUCK,1,5,8,Castro/Upper Market,"(37.762670709045416, -122.43518796229816)",190824203-T06
190824203,E06,19035256,Alarms,03/23/2019,03/23/2019,03/23/2019 11:27:11 PM,03/23/2019 11:28:47 PM,03/23/2019 11:28:54 PM,03/23/2019 11:30:07 PM,03/23/2019 11:33:19 PM,,,Fire,03/23/2019 11:45:09 PM,CASTRO ST/MARKET ST,San Francisco,94114,B05,06,5417,3,3,3,true,Alarm,1,ENGINE,2,5,8,Castro/Upper Market,"(37.762670709045416, -122.43518796229816)",190824203-E06
190824203,B06,19035256,Alarms,03/23/2019,03/23/2019,03/23/2019 11:27:11 PM,03/23/2019 11:28:47 PM,03/23/2019 11:28:54 PM,03/23/2019 11:31:00 PM,03/23/2019 11:35:42 PM,,,Fire,03/23/2019 11:40:03 PM,CASTRO ST/MARKET ST,San Francisco,94114,B05,06,5417,3,3,3,false,Alarm,1,CHIEF,3,5,8,Castro/Upper Market,"(37.762670709045416, -122.43518796229816)",190824203-B06
190824189,63,19035255,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:23:22 PM,03/23/2019 11:23:22 PM,03/23/2019 11:23:51 PM,03/23/2019 11:24:25 PM,03/23/2019 11:41:40 PM,,,SFPD,03/23/2019 11:45:06 PM,7TH AV/IRVING ST,San Francisco,94122,B08,22,7332,A,2,2,true,Non Life-threatening,1,MEDIC,1,7,5,Inner Sunset,"(37.76413087083662, -122.46417202270962)",190824189-63
190824187,AM120,19035254,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:22:46 PM,03/23/2019 11:22:46 PM,03/23/2019 11:23:32 PM,03/23/2019 11:24:00 PM,03/23/2019 11:30:50 PM,03/23/2019 11:42:08 PM,03/24/2019 12:02:46 AM,Code 2 Transport,03/24/2019 12:33:09 AM,0 Block of GROVE ST,San Francisco,94102,B02,36,1552,C,2,2,false,Non Life-threatening,1,PRIVATE,1,2,6,Tenderloin,"(37.778539623098034, -122.41739304131445)",190824187-AM120
190824168,E01,19035253,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:12:14 PM,03/23/2019 11:15:39 PM,03/23/2019 11:16:29 PM,03/23/2019 11:17:01 PM,03/23/2019 11:22:19 PM,,,Unable to Locate,03/23/2019 11:25:50 PM,6TH ST/MISSION ST,San Francisco,94103,B03,01,2251,2,2,2,true,Potentially Life-Threatening,1,ENGINE,1,3,6,South of Market,"(37.780971182391774, -122.40870867495441)",190824168-E01
190824168,84,19035253,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:12:14 PM,03/23/2019 11:15:39 PM,03/23/2019 11:16:29 PM,03/23/2019 11:17:05 PM,,,,Unable to Locate,03/23/2019 11:25:16 PM,6TH ST/MISSION ST,San Francisco,94103,B03,01,2251,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,3,6,South of Market,"(37.780971182391774, -122.40870867495441)",190824168-84
190824159,QRV1,19035252,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:11:57 PM,03/23/2019 11:12:38 PM,03/23/2019 11:13:04 PM,03/23/2019 11:13:08 PM,03/23/2019 11:15:46 PM,,,Code 2 Transport,03/23/2019 11:24:24 PM,0 Block of MCLEA CT,San Francisco,94103,B03,29,2333,3,3,3,true,Potentially Life-Threatening,1,SUPPORT,1,3,6,South of Market,"(37.77207518464768, -122.40874682968057)",190824159-QRV1
190824159,AM118,19035252,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:11:57 PM,03/23/2019 11:12:38 PM,03/23/2019 11:13:04 PM,03/23/2019 11:15:43 PM,03/23/2019 11:17:48 PM,03/23/2019 11:27:45 PM,03/23/2019 11:40:23 PM,Code 2 Transport,03/24/2019 12:15:53 AM,0 Block of MCLEA CT,San Francisco,94103,B03,29,2333,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,3,6,South of Market,"(37.77207518464768, -122.40874682968057)",190824159-AM118
190824153,KM14,19035251,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:06:55 PM,03/23/2019 11:10:39 PM,03/23/2019 11:12:00 PM,03/23/2019 11:12:31 PM,03/23/2019 11:18:01 PM,03/23/2019 11:31:26 PM,03/23/2019 11:41:31 PM,Code 2 Transport,03/24/2019 12:05:21 AM,600 Block of LARKIN ST,San Francisco,94109,B02,03,1643,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,2,6,Tenderloin,"(37.78401492325542, -122.4175942477062)",190824153-KM14
190824135,E07,19035250,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:03:56 PM,03/23/2019 11:05:44 PM,03/23/2019 11:07:03 PM,03/23/2019 11:08:21 PM,03/23/2019 11:12:23 PM,,,Code 2 Transport,03/23/2019 11:24:01 PM,1200 Block of SOUTH VAN NESS AV,San Francisco,94110,B06,07,5511,2,2,2,true,Potentially Life-Threatening,1,ENGINE,1,6,9,Mission,"(37.75317431514247, -122.41627050799599)",190824135-E07
190824135,87,19035250,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:03:56 PM,03/23/2019 11:05:44 PM,03/23/2019 11:07:03 PM,03/23/2019 11:07:06 PM,03/23/2019 11:19:00 PM,03/23/2019 11:33:56 PM,03/23/2019 11:40:58 PM,Code 2 Transport,03/24/2019 12:10:11 AM,1200 Block of SOUTH VAN NESS AV,San Francisco,94110,B06,07,5511,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,6,9,Mission,"(37.75317431514247, -122.41627050799599)",190824135-87
190824128,T05,19035249,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:03:07 PM,03/23/2019 11:04:06 PM,03/23/2019 11:05:35 PM,03/23/2019 11:06:42 PM,,,,Code 2 Transport,03/23/2019 11:10:16 PM,EDDY ST/BUCHANAN ST,San Francisco,94115,B02,05,3366,3,3,3,false,Potentially Life-Threatening,1,TRUCK,2,2,5,Western Addition,"(37.78184743862872, -122.42904060379006)",190824128-T05
190824128,AM116,19035249,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:03:07 PM,03/23/2019 11:04:06 PM,03/23/2019 11:05:35 PM,03/23/2019 11:06:11 PM,03/23/2019 11:09:03 PM,03/23/2019 11:24:52 PM,03/23/2019 11:50:03 PM,Code 2 Transport,03/24/2019 12:24:27 AM,EDDY ST/BUCHANAN ST,San Francisco,94115,B02,05,3366,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,1,2,5,Western Addition,"(37.78184743862872, -122.42904060379006)",190824128-AM116
190824122,76,19035248,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:00:36 PM,03/23/2019 11:02:35 PM,03/23/2019 11:06:33 PM,03/23/2019 11:06:39 PM,03/23/2019 11:11:41 PM,03/23/2019 11:46:24 PM,03/24/2019 12:08:58 AM,Code 2 Transport,03/24/2019 12:42:00 AM,300 Block of STAPLES AVE,San Francisco,94112,B09,15,8232,2,2,2,true,Non Life-threatening,1,MEDIC,1,9,7,West of Twin Peaks,"(37.729012532730415, -122.4499899780314)",190824122-76
190824118,AM118,19035247,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:01:44 PM,03/23/2019 11:01:44 PM,03/23/2019 11:03:38 PM,03/23/2019 11:04:07 PM,,,,Cancelled,03/23/2019 11:10:27 PM,300 Block of EDDY ST,San Francisco,94102,B02,03,1540,C,2,2,false,Non Life-threatening,1,PRIVATE,1,2,6,Tenderloin,"(37.783834437414136, -122.4129305220591)",190824118-AM118
190824116,AM116,19035246,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:01:26 PM,03/23/2019 11:01:26 PM,03/23/2019 11:01:26 PM,03/23/2019 11:01:26 PM,03/23/2019 11:01:26 PM,,,Code 2 Transport,03/23/2019 11:05:22 PM,0 Block of GROVE ST,San Francisco,94102,B02,36,1552,2,2,2,false,Non Life-threatening,1,PRIVATE,1,2,6,Tenderloin,"(37.778539623098034, -122.41739304131445)",190824116-AM116
190824116,52,19035246,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:01:26 PM,03/23/2019 11:01:26 PM,03/23/2019 11:06:05 PM,03/23/2019 11:06:19 PM,03/23/2019 11:19:10 PM,03/23/2019 11:28:51 PM,03/23/2019 11:58:25 PM,Code 2 Transport,03/24/2019 12:15:30 AM,0 Block of GROVE ST,San Francisco,94102,B02,36,1552,2,2,2,true,Non Life-threatening,1,MEDIC,2,2,6,Tenderloin,"(37.778539623098034, -122.41739304131445)",190824116-52
190824113,E41,19035245,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:01:12 PM,03/23/2019 11:01:12 PM,03/23/2019 11:02:45 PM,03/23/2019 11:03:52 PM,03/23/2019 11:05:06 PM,,,Code 2 Transport,03/23/2019 11:16:45 PM,1500 Block of CALIFORNIA ST,San Francisco,94109,B04,41,1635,A,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,3,Nob Hill,"(37.79073739424644, -122.41987274042768)",190824113-E41
190824113,93,19035245,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:01:12 PM,03/23/2019 11:01:12 PM,03/23/2019 11:02:45 PM,03/23/2019 11:03:14 PM,03/23/2019 11:10:05 PM,03/23/2019 11:25:19 PM,03/23/2019 11:56:41 PM,Code 2 Transport,03/24/2019 12:12:17 AM,1500 Block of CALIFORNIA ST,San Francisco,94109,B04,41,1635,A,3,3,true,Potentially Life-Threatening,1,MEDIC,2,4,3,Nob Hill,"(37.79073739424644, -122.41987274042768)",190824113-93
190824109,E03,19035244,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:59:53 PM,03/23/2019 11:00:11 PM,03/23/2019 11:00:27 PM,03/23/2019 11:01:38 PM,03/23/2019 11:04:49 PM,,,Code 2 Transport,03/23/2019 11:06:13 PM,400 Block of POWELL ST,San Francisco,94108,B01,02,1362,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,1,3,Financial District/South Beach,"(37.78876832856105, -122.40843000617386)",190824109-E03
190824109,60,19035244,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:59:53 PM,03/23/2019 11:00:11 PM,03/23/2019 11:00:27 PM,03/23/2019 11:00:30 PM,03/23/2019 11:03:34 PM,03/23/2019 11:27:06 PM,03/23/2019 11:33:35 PM,Code 2 Transport,03/24/2019 12:02:37 AM,400 Block of POWELL ST,San Francisco,94108,B01,02,1362,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,1,3,Financial District/South Beach,"(37.78876832856105, -122.40843000617386)",190824109-60
190824103,E38,19035243,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:52:34 PM,03/23/2019 10:55:29 PM,03/23/2019 10:56:30 PM,03/23/2019 10:58:00 PM,03/23/2019 10:59:34 PM,,,Code 2 Transport,03/23/2019 11:18:40 PM,2200 Block of SACRAMENTO ST,San Francisco,94115,B04,38,3435,2,2,2,true,Non Life-threatening,1,ENGINE,1,4,2,Pacific Heights,"(37.79041002957682, -122.42992541203203)",190824103-E38
190824103,54,19035243,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:52:34 PM,03/23/2019 10:55:29 PM,03/23/2019 10:56:30 PM,03/23/2019 10:56:35 PM,03/23/2019 11:06:47 PM,03/23/2019 11:26:44 PM,03/23/2019 11:41:10 PM,Code 2 Transport,03/24/2019 12:10:20 AM,2200 Block of SACRAMENTO ST,San Francisco,94115,B04,38,3435,2,2,2,true,Non Life-threatening,1,MEDIC,2,4,2,Pacific Heights,"(37.79041002957682, -122.42992541203203)",190824103-54
190824092,E20,19035242,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:48:39 PM,03/23/2019 10:50:14 PM,03/23/2019 10:50:52 PM,03/23/2019 10:52:28 PM,03/23/2019 10:55:35 PM,,,Code 2 Transport,03/23/2019 11:07:48 PM,LAWTON ST/WARREN DR,San Francisco,94122,B08,20,5377,2,2,2,true,Non Life-threatening,1,ENGINE,1,8,7,Inner Sunset,"(37.75853818200778, -122.46378152695446)",190824092-E20
190824092,79,19035242,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:48:39 PM,03/23/2019 10:50:14 PM,03/23/2019 10:50:52 PM,03/23/2019 10:51:01 PM,03/23/2019 10:58:26 PM,03/23/2019 11:12:24 PM,03/23/2019 11:34:41 PM,Code 2 Transport,03/24/2019 12:04:50 AM,LAWTON ST/WARREN DR,San Francisco,94122,B08,20,5377,2,2,2,true,Non Life-threatening,1,MEDIC,2,8,7,Inner Sunset,"(37.75853818200778, -122.46378152695446)",190824092-79
190824087,E36,19035241,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:47:04 PM,03/23/2019 10:49:02 PM,03/23/2019 10:50:10 PM,03/23/2019 10:51:29 PM,03/23/2019 10:52:31 PM,,,Code 2 Transport,03/23/2019 10:56:50 PM,VAN NESS AV/MARKET ST,San Francisco,94103,B02,36,3211,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,6,Mission,"(37.77514707416219, -122.41925560721361)",190824087-E36
190824087,85,19035241,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:47:04 PM,03/23/2019 10:49:02 PM,03/23/2019 10:50:10 PM,03/23/2019 10:50:22 PM,03/23/2019 10:53:50 PM,03/23/2019 11:06:39 PM,03/23/2019 11:12:43 PM,Code 2 Transport,03/23/2019 11:43:55 PM,VAN NESS AV/MARKET ST,San Francisco,94103,B02,36,3211,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,6,Mission,"(37.77514707416219, -122.41925560721361)",190824087-85
190824064,75,19035240,Medical Incident,03/23/2019,03/23/2019,03/23/2019 10:42:41 PM,03/23/2019 10:42:41 PM,03/23/2019 10:43:37 PM,03/23/2019 10:43:46 PM,03/23/2019 10:52:17 PM,03/23/2019 11:11:54 PM,03/23/2019 11:18:21 PM,Code 2 Transport,03/23/2019 11:48:12 PM,0 Block of GROVE ST,San Francisco,94102,B02,36,1552,C,2,2,true,Non Life-threatening,1,MEDIC,1,2,6,Tenderloin,"(37.778539623098034, -122.41739304131445)",190824064-75
190824001,E37,19035239,Outside Fire,03/23/2019,03/23/2019,03/23/2019 10:22:00 PM,03/23/2019 10:22:51 PM,03/23/2019 10:23:49 PM,03/23/2019 10:25:23 PM,03/23/2019 10:29:16 PM,,,Unable to Locate,03/23/2019 10:30:36 PM,16TH ST/UTAH ST,San Francisco,94103,B02,29,2421,3,3,3,true,Fire,1,ENGINE,1,2,10,Mission,"(37.765842272066735, -122.40655282562197)",190824001-E37
190823998,E07,19035238,Traffic Collision,03/23/2019,03/23/2019,03/23/2019 10:21:34 PM,03/23/2019 10:21:34 PM,03/23/2019 10:22:14 PM,03/23/2019 10:23:22 PM,,,,Other,03/23/2019 10:28:05 PM,FULTON ST/22ND AV,San Francisco,94121,B07,14,7167,A,3,3,true,Potentially Life-Threatening,1,ENGINE,2,7,1,Outer Richmond,"(37.77271628224675, -122.48097876448055)",190823998-E07
190823998,85,19035238,Traffic Collision,03/23/2019,03/23/2019,03/23/2019 10:21:34 PM,03/23/2019 10:21:34 PM,03/23/2019 10:22:14 PM,03/23/2019 10:22:21 PM,03/23/2019 10:24:54 PM,,,Other,03/23/2019 10:27:38 PM,FULTON ST/22ND AV,San Francisco,94121,B07,14,7167,A,3,3,true,Potentially Life-Threatening,1,MEDIC,1,7,1,Outer Richmond,"(37.77271628224675, -122.48097876448055)",190823998-85
